Name,Symbol,ISIN,WKN,Exchange,UsSymbol
ASSECO POLAND GDR/1 ZY 1,SFBG,US04539A4067,A1CUTT,XFRA,ASOZY
ASSECO STH EAST.EUR.ZY 10,7T8,PLASSEE00014,A0YDWB,XFRA,
ASSEMBLY BIOSCIENCES,V7B1,US0453961080,A117S1,XFRA,ASMB
"ASSETMARK FIN. DL-,001",0LA,US04546L1061,A2PNZ9,XFRA,AMK
Assicurazioni Generali S.p.A.,ASG,IT0000062072,850312,XETR,
ASSOC. BR. FOODS ADR 1,AFO2,US0455194029,917068,XFRA,ASBFY
ASSOCIATED BANC-CORP,AB5,US0454871056,907145,XFRA,ASB
Associated British Foods PLC,AFO1,GB0006731235,920876,XFRA,
"ASSOCIATED CAP. A DL-,001",41J,US0455281065,A143J7,XFRA,AC
"ASSURA PLC LS-,10",75A,GB00BVGBWW93,A14M2K,XFRA,
Assurant Inc.,ZAS,US04621X1081,A0BLRP,XFRA,AIZ
ASSURE HOLDINGS CORP.,14G,US04625J1051,A2DS0S,XFRA,ARHH
ASSURED GUARANTY,DHU,BMG0585R1060,A0CATL,XFRA,
Assystem S.A.,BZ1,FR0000074148,928721,XFRA,
ASTALDI,ACI,IT0003261069,633568,XFRA,
"ASTEC INDS INC. DL-,20",AI2,US0462241011,885275,XFRA,ASTE
Astellas Pharma Inc.,YPH,JP3942400007,856273,XFRA,
ASTELLAS PHARMA UNSP.ADR,YPHA,US04623U1025,A0YGQP,XFRA,ALPMY
ASTM S.P.A.,TM3,IT0000084027,866220,XFRA,
ASTON BAY HLDGS LTD O.N.,6AY,CA04624P1027,A2AUFP,XFRA,
ASTON MART.LA.UADR LS-001,A5S0,US04626D2062,A2QJRN,XFRA,ARGGY
ASTON MARTIN LAG.GLB.HLDG,A5SA,GB00BN7CG237,A2QJD4,XFRA,
ASTON MINERALS LTD,28W0,AU0000128787,A2QLTL,XFRA,
ASTRA AGRO LESTARI RP 500,ASX,ID1000066004,911507,XFRA,
"ASTRALIS GROUP A/S DK-,01",3NU,DK0061155785,A2PVKE,XFRA,
"ASTRAZENECA DL-,25 SP.ADR",ZEGA,US0463531089,886715,XFRA,AZN
Astrazeneca PLC,ZEG,GB0009895292,886455,XETR,
"ASTRO-MED INC. DL-,01",AZO,US04638F1084,922775,XFRA,ALOT
"ASTRONICS CORP. DL-,01",AC1,US0464331083,867880,XFRA,ATRO
ASTROTECH CORP.,SP5B,US0464842006,A2H5UH,XFRA,ASTC
ASX Ltd.,AUX,AU000000ASX7,916902,XFRA,
"AT HOME GROUP INC DL-,01",A08,US04650Y1001,A2APV0,XFRA,HOME
AT&S Austria Tech. & System. AG,AUS,AT0000969985,922230,XETR,
AT&T Inc.,SOBA,US00206R1023,A0HL9Z,XETR,T
ATA INC. ADR/2 DL-01,3IZ,US00211V1061,A0NBL5,XFRA,AACG
ATAC Resources Ltd.,14A,CA0464911068,A0BKZG,XFRA,
"ATALAYA MNG PLC LS-,075",E5S1,CY0106002112,A142QE,XFRA,
"ATARA BIOTHERAP. DL-,0001",AT2,US0465131078,A1166A,XFRA,ATRA
"ATARI S.A. EO 0,01",IFGA,FR0010478248,A0NEZJ,XFRA,
ATARI S.A. SDR/1,IFG,SE0012481232,A2QRDS,XFRA,
ATCO CLASS 1,8A6,CA0467894006,866126,XFRA,
ATEA,MKL,NO0004822503,884578,XFRA,
ATEAM INC.,88A,JP3160890004,A1JV33,XFRA,
"ATEME EO-,14",AYD,FR0011992700,A12AAH,XFRA,
ATENTO SA,A37A,LU2212224153,A2QAN7,XFRA,
ATEX RESOURCES INC.,EAT3,CA04681A1057,A2PD5V,XFRA,
ATHABASCA MINERALS INC,25B,CA0468261031,A1J398,XFRA,
Athabasca Oil Corp.,ATI,CA04682R1073,A1JYFM,XFRA,
"ATHENE HOLDING A DL-,001",ATR,BMG0684D1074,A2DHW0,XFRA,
ATHENEX INC.,2MT,US04685N1037,A2DTE9,XFRA,ATNX
ATHENS WATER SUPPLY & SEWERAGE,EYP,GRS359353000,931894,XFRA,
Athersys Inc.,4LS,US04744L1061,A0M085,XFRA,ATHX
Atico Mining Corp.,9AO,CA0475591099,A1JVJW,XFRA,
"ATKORE DL-,01",AOA,US0476491081,A2ALP3,XFRA,AOA
ATLANTIA,AU9,IT0003506190,913220,XFRA,
ATLANTIA SPA ADR 1/2/EO 1,AU9A,US0481731083,A0YGQR,XFRA,ATASY
ATLANTIC CAP. BANCSHARES,41K,US0482692037,A143JU,XFRA,ACBI
ATLANTIC COASTAL ACQ. UT,1ZR0,US0484532033,A2QQVV,XFRA,ACAHU
ATLANTIC PETROL.PF DK 100,B3W,FO000A0DN9X4,A0DN9X,XFRA,
ATLANTIC POWER,6AW,CA04878Q8636,A0YFLN,XFRA,
"ATLANTIC SAPPHIRE NK -,10",4AS,NO0010768500,A2JLK8,XFRA,
ATLANTIC UNION BANKS.DL 2,UIO,US04911A1079,A2PK2D,XFRA,AUB
ATLAS AIR WWD.HDG.WNI.,W8W,US0491642056,A0DK5Y,XFRA,AAWW
ATLAS ARTERIA,M82,AU0000013559,A2JM2A,XFRA,
ATLAS COPCO A,ACO2,SE0011166610,A2JLJU,XFRA,
"ATLAS COPCO A ADR SK 1,25",ACO,US0492557063,920783,XFRA,ATLKY
ATLAS COPCO B FREE,ACO1,SE0011166628,A2JLJK,XFRA,
ATLAS MARA LTD.,9A3,VGG0697K1066,A1XBAF,XFRA,
"ATLASSIAN CORP. A DL -,10",59A,GB00BZ09BD16,A2ABYA,XFRA,
ATMOS ENERGY,AEO,US0495601058,868746,XETR,ATO
"ATN INTL INC. DL-,01",ATP,US00215F1075,A2AMHC,XFRA,ATNI
ATON RES INC.,7X82,CA0496AP2026,A2QES8,XFRA,
Atos Origin S.A.,AXI,FR0000051732,877757,XFRA,
ATOSS Software AG,AOF,DE0005104400,510440,XETR,
"ATOSSA THERAPEU. DL -,015",YAG2,US04962H5063,A2JJ99,XFRA,ATOS
"ATRECA INC.A SHS DL-,0001",0C1,US04965G1094,A2PLNM,XFRA,BCEL
Atresmedia Corp.d.Medio.d.Com.,YT2A,ES0109427734,A0EAK5,XFRA,
"ATRICURE INC. DL-,001",A5I,US04963C2098,A0ES9W,XFRA,ATRC
ATRIUM EUROPEAN REAL ESTATE,ODDB,JE00B3DCF752,A0X963,XFRA,
"ATRIUM LJUNGBERG SK 2,50",A1A,SE0000191827,533995,XFRA,
ATRIUM MORTGAGE INVESTM.,74O,CA04964G1000,A1WZD3,XFRA,
ATS AUTOMATION TOOLING SYSTEMS,ATO,CA0019401052,897908,XFRA,
ATTENDO AB,7AT,SE0007666110,A2AA6V,XFRA,
ATVEXA AB BO.N.,9XZ,SE0010599704,A2JADM,XFRA,
"ATYR PHARMA INC. DL -,001",471A,US0021202025,A2PM86,XFRA,LIFE
AU OPTRONICS CORP-SPON ADR,AU7A,US0022551073,621971,XFRA,AUOTY
"AUBAY TECHNOL. INH.EO 0,5",BAQ,FR0000063737,915268,XFRA,
AUCKLD INTL AIRPORT O.N.,BZTA,NZAIAE0002S6,A111EQ,XFRA,
"AUCTION TECH.GRP.LS-,0001",684,GB00BMVQDZ64,A2QP3Y,XFRA,
"AUDIENTES A/S DK -,10",AUG,DK0061406618,A2QD7T,XFRA,
AUDIO PIXELS HOLDINGS LTD,GQ8,AU000000AKP0,A1H5Q8,XFRA,
Audiocodes Ltd.,AU1,IL0010829658,922683,XFRA,
audius SE,3IT,NL0006129074,A0M530,XFRA,
"AUGEAN PLC LS-,10",DZN,GB00B02H2F76,A0DNPA,XFRA,
"AUGUSTA GOLD DL-,0001",7RZ,US0512761034,A2QM5Q,XFRA,G
"AULT GLOBAL HLDGS DL-,001",DP2,US05150X1046,A2QMM8,XFRA,DPW
Aumann AG,AAG,DE000A2DAM03,A2DAM0,XETR,
"AUPLATA MINING GRP EO-,80",A7PA,FR0013410370,A2PGRQ,XFRA,
AURA ENERGY LTD,VU1,AU000000AEE7,A0JMMZ,XFRA,
AURA MINERALS INC. O.N.,A531,VGG069731120,A2PBMB,XFRA,
AURANIA RES CAD R.S.,20Q,BMG069741020,A2DKJ4,XFRA,
AURCANA SILVER CORP.,UHY0,CA0519188035,A2PBDG,XFRA,
AURCREST GOLD INC.,TM8A,CA05153A1012,A0YG1K,XFRA,
Aurelia Metals Ltd.,YTR,AU000000AMI1,A115FX,XFRA,
AURELIUS MNLS INC.,1GA,CA05156E1007,A2DJ8N,XFRA,
AURELIUS SE & Co. KGaA,AR4,DE000A0JK2A8,A0JK2A,XETR,
"AURES TECH. INH. EO-,25",A5R,FR0013183589,A2AM9S,XFRA,
AURIANT MINING SK 100,516,SE0001337213,A0EACA,XFRA,
AURINIA PHARMACEUT.,IKAP,CA05156V1022,A1W7D4,XFRA,
AURION RESOURCES LTD,8RA,CA05156F1071,A1H6VS,XFRA,
"AURIS MEDICAL HLDG SF-,01",2QAA,BMG070252017,A2PJN3,XFRA,
AURIZON HOLDINGS,QRL,AU000000AZJ1,A1J9LC,XFRA,
AUROCH MINERALS NL,T59,AU000000AOU2,A1J8JP,XFRA,
AURORA CANNABIS,21P1,CA05156X8843,A2P4EC,XFRA,
AURORA LABS LTD.,0FR,AU000000A3D7,A2DJX9,XFRA,
Aurora Solar Technologies Inc.,A82,CA05207J1084,A14T2F,XFRA,
Aurubis AG,NDA,DE0006766504,676650,XETR,
AURUBIS AG UNSP.ADR 1/2,NDA1,US05207U1034,A2QG8Z,XFRA,AIAGY
AUSCANN GROUP HLDGS O.N.,UVP,AU000000AC89,A2DLBP,XFRA,
AUSGOLD LTD,AU4,AU000000AUC7,A0YE9R,XFRA,
AusNet Services,S6N,AU000000AST5,A119HC,XFRA,
"AUSNUTRIA DAI.HUNA.HD-,10",6AH,KYG063181021,A0YBTY,XFRA,
Austal Ltd.,LX6,AU000000ASB3,918412,XFRA,
AUSTAR GOLD LTD,QFOA,AU000000AUL8,A2H97W,XFRA,
"AUSTEVOLL SEAFOOD NK 0,5",Z85,NO0010073489,A0J2P8,XFRA,
AUSTIN ENGINEERING LTD.,RZA,AU000000ANG3,A0BLP7,XFRA,
AUSTRAL. SILICA QUARTZ G.,4B4,AU0000066169,A2PV0S,XFRA,
AUSTRAL.PRIMARY HEMP LTD,QA9,AU0000060220,A2PTTM,XFRA,
Australia & N. Z. Bkg Grp Ltd.,ANB,AU000000ANZ3,864144,XFRA,
Australian Agricultural Co.Ltd,AY5,AU000000AAC9,763858,XFRA,
Australian Bauxite Ltd.,A7B,AU000000ABX3,A117FA,XFRA,
AUSTRALIAN DAIRY NUTR.GR.,F9H,AU000000AHF7,A12EBF,XFRA,
AUSTRALIAN ETHICAL INV.,1OP,AU000000AEF4,256479,XFRA,
AUSTRALIAN GOLDFIELDS O.N,G0A,CA05258G1028,A2QQ2R,XFRA,
AUSTRALIAN LEADERS FD LTD,WLN,AU000000ALF9,A0M9QV,XFRA,
AUSTRALIAN MINES LTD.,MJH,AU000000AUZ8,A0BLDP,XFRA,
AUSTRALIAN PHARMA INDS,GIW,AU000000API4,930096,XFRA,
AUSTRALIAN VANADIUM LTD,JT71,AU000000AVL6,A2ABRH,XFRA,
Australian Vintage Ltd.,MGE,AU000000AVG6,A0ND5K,XFRA,
AUSTRALIS CAPITAL INC.,AC4,CA05259R1073,A2N4PA,XFRA,
AUSTRIA METALL,AM8,AT00000AMAG3,A1JFYU,XFRA,
"AUTO PART.SA S.A-G ZY-,10",6KF,PLATPRT00018,A2AMJD,XFRA,
"AUTO TRADER GRP PLCLS0,01",2UA,GB00BVYVFW23,A14PY2,XFRA,
AUTO1 Group SE,AG1,DE000A2LQ884,A2LQ88,XETR,
AUTOBACS SEVEN,AB6,JP3172500005,878667,XFRA,
AUTOCANADA INC.,31K,CA05277B2093,A1C43V,XFRA,
Autodesk Inc.,AUD,US0527691069,869964,XETR,ADSK
AUTOGRILL,AUL,IT0001137345,908497,XFRA,
"AUTOHOME INC. A DL -,01",8AHA,KYG066341028,A1W93S,XFRA,
AUTOHOME SP.ADR A 1 DL-01,8AHB,US05278C1071,A1W97C,XFRA,ATHM
AUTOLIV,LIV,US0528001094,906892,XFRA,ALV
"AUTOLIV SDR/1 DL-,01",LIVS,SE0000382335,906926,XFRA,
AUTOLUS THERAP. SP.ADR/1,6A3A,US05280R1005,A2JNZJ,XFRA,AUTL
AUTOMATED SYS HLDGS HD-10,UTO,BMG0666H1007,919478,XFRA,
Automatic Data Processing Inc.,ADP,US0530151036,850347,XETR,ADP
AUTOMOTIVE FINCO CORP.,2AYA,CA05329N1024,A2DM3U,XFRA,
Autonation Inc.,RWI,US05329W1027,880953,XFRA,AN
"AUTONEUM HLDG NA SF-,05",AN9,CH0127480363,A1H900,XFRA,
"AUTOWEB INC. DL-,001",AYCP,US05335B1008,A2GSXG,XFRA,AUTO
Autozone Inc.,AZ5,US0533321024,881531,XFRA,AZO
"AUX INTERN. HD-,01",MEN,KYG2947D1060,A141K0,XFRA,
AUXICO RESOURCES CANADA,A0H,CA05334L1094,A2H6MQ,XFRA,
AUXLY CANNABIS GRP,3KF,CA05335P1099,A2JNSX,XFRA,
"AVACTA GROUP PLC LS-,10",RTQ1,GB00BYYW9G87,A2ADP0,XFRA,
AVADEL PHARM. SPONS.ADR/1,AWK1,US05337M1045,A2DJR8,XFRA,AVDL
"AVALARA INC. DL-,0001",3EK,US05338G1067,A2JNYN,XFRA,AVLR
AVALON ADV. MAT. INC.,OU5A,CA05337L3048,A3CMVB,XFRA,
Avalonbay Communities Inc.,WV8,US0534841012,914867,XETR,AVB
AVANCE GAS HLDG DL 2,A07,BMG067231032,A1W6ST,XFRA,
"AVANGRID INC. DL-,01",12A,US05351W1036,A2ACDD,XFRA,AGR
"AVANOS MEDICAL INC.DL-,01",8HH,US05350V1061,A2JNRG,XFRA,AVNS
"AVANTI ACQ. CL.A DL-,0001",AC9,KYG0682V1095,A2QD8G,XFRA,
AVANTI ENERGY INC.,3AYP,CA0534984087,A2PUTD,XFRA,
"AVANTIUM N.V. EO -,10",27V,NL0012047823,A2DM1P,XFRA,
"AVANTOR INC. DL-,01",AVG,US05352A1007,A2PJN6,XFRA,AVTR
"AVANZA BK HLDG AB SK 0,50",1JJA,SE0012454072,A2PG8N,XFRA,
AVARONE METALS,W2U1,CA05351M2040,A14SVX,XFRA,
"AVAST PLC. (WI) LS-,1",AV2,GB00BDD85M81,A2JLZU,XFRA,
"AVATION PLC LS-,01",9K0,GB00B196F554,A0KDZA,XFRA,
"AVAYA HLDGS CORP. DL-,001",1KU,US05351X1019,A2JAF9,XFRA,AVYA
AVCORP INDS INC.,DO9A,CA05354K3047,A0ET82,XFRA,
AVECHO BIOTECHN. LTD,OEZ,AU0000047441,A2PLEV,XFRA,
AVENG,UG8K,ZAE000111829,A0NDEG,XFRA,
"AVENIR TELECOM INH.EO0,40",AW51,FR0013529815,A2QEMY,XFRA,
AVENIRA LTD,WTP,AU000000AEV1,A2ABBW,XFRA,
"AVENSIA AB SK -,15",5IY,SE0000671745,570294,XFRA,
"AVENUE THERAP. DL-,0001",49Y,US05360L2051,A2JH92,XFRA,ATXI
"AVEO PHARMA.NEW DL-,001",VPA1,US0535883070,A2P0CL,XFRA,AVEO
Avery Dennison Corporation,AV3,US0536111091,850354,XETR,AVY
AVES ONE AG O.N.,AVES,DE000A168114,A16811,XETR,
AVEVA GRP,4A91,GB00BBG9VN75,A1W0MM,XFRA,
AVEX GP.HDG.,AX8,JP3160950006,919455,XFRA,
"AVI LTD RC-,05",IZ6,ZAE000049433,784554,XFRA,
AVI-TECH ELECTRONICS LTD,3A3N,SG1CC0000008,A14353,XFRA,
AVIANKA HLDGS SPON.ADR 1,A90A,US05367G1004,A1W6ZH,XFRA,AVHOQ
AVIAT NETWORKS INC.,HSD1,US05366Y2019,A2AL39,XFRA,AVNW
"AVIC INTL HLDG(HK) HD-,10",CTQ,BMG0719V1063,A0X91N,XFRA,
AVICANNA INC.,0NN,CA05368K1003,A2PN04,XFRA,
AVICHINA IND.+TECH. H YC1,AVT,CNE1000001Y8,A0M4WY,XFRA,
"AVID BIOSERVICES DL-,001",TEHP,US05368M1062,A2JBKV,XFRA,CDMO
"AVID TECH. INC. DL-,01",AVD,US05367P1003,886052,XFRA,AVID
"AVIENT CORP. DL-,01",PY9,US05368V1061,A2P9BF,XFRA,AVNT
"AVINGER INC. DL-,001",VG2B,US0537346043,A2PMRS,XFRA,AVGR
"AVINGTRANS LS-,05",DZR,GB0009188797,873350,XFRA,
Avino Silver & Gold Mines Ltd.,GV6,CA0539061030,862191,XFRA,
AVIO S.P.A.,2ZP,IT0005119810,A14XKE,XFRA,
AVIS BUDGET GROUP,CUCA,US0537741052,A0KEE9,XFRA,CAR
AVISTA,AV6,US05379B1070,856142,XFRA,AVAN
"AVITA MEDICAL DL-,0001",51KA,US05380C1027,A2P733,XFRA,RCEL
Avita Medical Ltd.,51KB,AU000000AVH4,A2P8DT,XFRA,
Aviva PLC,GU8,GB0002162385,854013,XFRA,
"AVIVA PLC ADR/2 LS-,25",GU8E,US05382A1043,A0YC5C,XFRA,AVVIY
AVIVAGEN INC.,5V51,CA05382F2026,A2DSPS,XFRA,
Avnet Inc.,VNI,US0538071038,850355,XFRA,AVT
AVON RUBBER PLC LS 1,1OK,GB0000667013,854768,XFRA,
AVRICORE HEALTH INC.,8VP1,CA0545211090,A2N8S1,XFRA,
AVRUPA MINERALS,8AMA,CA05453A2074,A2QJTH,XFRA,
AVTECH SWEDEN AB B,8QL,SE0004270445,A1JTXL,XFRA,
AVZ MINERALS LTD.,3A2,AU000000AVZ6,A0MXC7,XFRA,
"AWARE INC. DL-,01",AWR,US05453N1000,902788,XFRA,AWR
"AWILCO DRILLING LS -,01",0AI,GB00B5LJSC86,A1JEML,XFRA,
"AWILCO LNG NK -,10",AWQ,NO0010607971,A1JEMJ,XFRA,
AXA S.A.,AXA,FR0000120628,855705,XETR,
AXA UAP ADR 1/FF 60,AXAA,US0545361075,901685,XFRA,AXAHY
"AXACTOR SE EO 0,5234232",2LJ,NO0010840515,A2PBB3,XFRA,
Axalta Coating Systems Ltd.,9AX,BMG0750C1082,A12EDV,XFRA,
"AXCELIS TECHS DL-,001",XXA1,US0545402085,A2AM8Z,XFRA,ACLS
AXFOOD AB,AXL1,SE0006993770,A14RAV,XFRA,
AXICHEM AB A,A6X,SE0005250719,A12CPC,XFRA,
AXION VENTURES INC.,2A5,CA05465L1004,A2DUA4,XFRA,
AXIS BANK LTD. GDR REGS 5,UZC,US05462W1099,A0MY4Z,XFRA,UZC
AXIS CAPITAL HLDG,AXV,BMG0692U1099,482025,XFRA,
AXMIN INC.,A4JN,CA05461V2012,A1JUGD,XFRA,
"AXOGEN INC. DL -,01",LT3,US05463X1063,A1JMHK,XFRA,AXGN
AXOLOT SOLUTIONS HOLDING,8Y1,SE0009414303,A2DHRN,XFRA,
"AXON ENTERPRISE DL-,00001",TCS,US05464C1018,A2DPZU,XFRA,AXON
AXONICS MODUL. TECH.,0I3,US05465P1012,A2N7B2,XFRA,AXNX
"AXOS FINANCIAL DL-,01",BB4,US05465C1009,A2N5Y2,XFRA,AX
AXSOME THERAPEUT. DL-0001,19X,US05464T1043,A2AA7B,XFRA,AXSM
"AXT INC. DL-,001",AHV,US00246W1036,914410,XFRA,AXTI
AXTEL S.A.B. DE C.V.,4GK,MX01AX040009,A0HM5G,XFRA,
AXWAY SOFTWARE EO 2,1XV,FR0011040500,A1JBGJ,XFRA,
"AXXIS GEO SOLUTI.NK 1,395",S5B,NO0010778095,A2DHW1,XFRA,
AYA GOLD + SILVER INC.,0HE1,CA05466C1095,A2QAQY,XFRA,
AYONDO LTD,8AY,SG1ED1000001,A2JG3A,XFRA,
AYR WELLNESS INC.RES.VTG.,3KJB,CA05475P1099,A2QPFE,XFRA,
"AYRO INC. DL-,0001",WR4F,US0547481087,A2P5PN,XFRA,AYRO
"AYTU BIOPHARMA DL -,0001",AY2,US0547548745,A2QJRT,XFRA,AYTU
AZARGA METALS CORP.,TGPP,CA05478A1093,A2AKWX,XFRA,
Azarga Uranium Corp.,P8AA,CA05477Y1088,A12EEQ,XFRA,
AZBIL CORP.,YMK,JP3937200008,860186,XFRA,
AZELIO AB,4AZ,SE0011973940,A2N919,XFRA,
AZIMUT EXPLORATION INC.,UL9,CA3019501012,A0KEU1,XFRA,
AZIMUT HLDG,HDB,IT0003261697,A0B6Q3,XFRA,
AZINCOURT ENERGY,A0U2,CA05478T1084,A2H5UC,XFRA,
AZN CAPITAL CORP.,1BI,CA00249G1054,A2QN62,XFRA,
AZTECH MINERALS CORP.,AZ3,CA0548271000,A2DRF0,XFRA,
AZUL SA PFD ADR 1,8AZA,US05501U1060,A14L9W,XFRA,AZUL
AZUMA HOUSE CO. LTD.,8A9,JP3120090000,A1W9Q2,XFRA,
"AZURE POWER GLOBAL DL-,01",256,MU0527S00004,A2AS8S,XFRA,
"AZURRX BIOPHARMA DL-,0001",366,US05502L1052,A2AQDY,XFRA,366
AZZ INC. DL 1,AI7,US0024741045,863132,XFRA,AZZ
B & G Foods Inc.(New),DHR,US05508R1068,A0CATC,XFRA,DHR
B.MEXICANA DE VAL.CL.A ON,BC51,MX01BM1B0000,A0Q4ME,XFRA,
B.PEMBA.DAE.J.TIM. RP 250,P7T,ID1000123904,A1J5FB,XFRA,
B.R.A.I.N. NA,BNN,DE0005203947,520394,XETR,
B+C SPEAKERS S.P.A.,37B,IT0001268561,A0MXCK,XFRA,
B+S Banksysteme Aktiengesellschaft,DTD2,DE0001262152,126215,XETR,
"B+S GROUP SA INH EO-,06",70B,LU1789205884,A2JE7W,XFRA,
"B2 HOLDING AS NK-,1",B28,NO0010633951,A2ALPJ,XFRA,
B2Gold Corp.,5BG,CA11777Q2099,A0M889,XFRA,
Baader Bank AG,BWB,DE0005088108,508810,XETR,
Babcock International Grp PLC,BW3,GB0009697037,877431,XFRA,
"BABCOCK+WILCOX ENT.DL-,01",UBW1,US05614L2097,A2PN0R,XFRA,BW
BABY BUNTING GROUP LTD,B14,AU000000BBN2,A1401X,XFRA,
BABYTREE GROUP,BTR,KYG070371078,A2N8XN,XFRA,
"BACANORA LITHIUM LS-,10",2F9,GB00BD20C246,A2APJJ,XFRA,
"BACHEM HLDG NA B SF 0,05",BHM,CH0012530207,914589,XFRA,
BACKSTAGEPLAY INC.,DOZC,CA0563622053,A2P0W5,XFRA,
BACTIGUARD HLDG B,5JE,SE0005878741,A115EQ,XFRA,
BADGER DAYLIGHTING LTD,6BD,CA05651W2094,A1H5L9,XFRA,
BADGER METER DL 1,33B,US0565251081,863871,XFRA,BMI
"BAE SYSTEMS ADR/4 LS-,025",BSPA,US05523R1077,931364,XFRA,BSPA
BAE Systems PLC,BSP,GB0002634946,866131,XETR,
"BAHAMAS PETE CO.LS-,00002",BPV,IM00B3NTV894,A1CWXP,XFRA,
BAIC Motor Corp. Ltd.,2B5,CNE100001TJ4,A12GNY,XFRA,
BAIDU INC. O.N.,B1CB,KYG070341048,A0YCQ6,XFRA,
Baidu.com Inc. ADR,B1C,US0567521085,A0F5DE,XFRA,BIDU
"BAIKOWSKI SAS EO 1,25",3BK,FR0013384369,A2PAHY,XFRA,
"BAIN CAP.SPEC.FIN. -,001",618,US05684B1070,A2N9Y3,XFRA,BCSF
BAINS MER MONACO EO 1,RJ8,MC0000031187,852401,XFRA,
BAIOO FAMILY INTERACTIVE,2B6,KYG070381051,A11028,XFRA,
BAKER HUGHES CO.,68V,US05722G1004,A2DUAY,XETR,BKR
BAKKAFROST P/F NAM. DK 1,6BF,FO0000000179,A1CVJD,XFRA,
"BAKKAVOR GRP PLC LS -,1",5I4,GB00BF8J3Z99,A2H7JM,XFRA,
BAKRIE + BRO. RP 5000,LFU2,ID1000110000,A0NF3H,XFRA,
BAKRIE SUMATERA PLTNS.,OSW,ID1000099708,A0DM80,XFRA,
Balchem Corp.,BL9B,US0576652004,905650,XFRA,BCPC
BALCO GROUP AB,B9C,SE0010323998,A2H5H7,XFRA,
BALFOUR BEATTY,BIH,GB0000961622,855539,XFRA,
Ball Corp.,BL8,US0584981064,860408,XETR,BLL
Ballard Power Systems Inc.(new),PO0,CA0585861085,A0RENB,XFRA,
"BALLYS CORP. DL-,01",358,US05875B1061,A2QG42,XFRA,BALY
Bâloise Holding AG,BLON,CH0012410517,853020,XFRA,
BALTA GROUP N.V.,BDB,BE0974314461,A2DR7Z,XFRA,
"BALYO S.A. EO -,08",1BO,FR0013258399,A2DSXQ,XFRA,
BAM BAM RES CORP.,4NPB,CA0593592086,A2QEN3,XFRA,
BAMBUSER AB,5JL,SE0009663834,A2DREX,XFRA,
BANC OF CALIFORNIA,FPB,US05990K1060,A1W2U2,XFRA,BANC
BANCA IFIS S.P.A. EO 1,0I6,IT0003188064,764940,XFRA,
BANCA MEDIOLANUM NOM.,ME1,IT0004776628,A2ACT1,XFRA,
BANCA PROFILO,BPA,IT0001073045,924693,XFRA,
"BANCA SISTEMA SPA EO-,12",B2S,IT0003173629,A14V3M,XFRA,
BANCA TRANSILV.NAM.LN 1,7TB,ROTLVAACNOR1,927146,XFRA,
BANCFIRST CORP. DL 1,BF1,US05945F1030,886171,XFRA,BANF
BANCO BBVA ARGENT.ADR/3,BFP,US0589341009,A2PU68,XFRA,BBAR
Banco Bilbao Vizcaya Argent,BOY,ES0113211835,875773,XETR,
BANCO BRADESCO PFD 04 ADR,BREC,US0594603039,A0B9WE,XFRA,BBD
BANCO BRADESCO SA - PREF,BRE,BRBBDCACNPR8,896694,XFRA,
BANCO BRANDESCO SP.ADR 1,BREA,US0594604029,A1JWED,XFRA,BBDO
BANCO DE CHILE ADR/600,G4RA,US0595201064,529496,XFRA,BCH
BANCO DO BRASIL ADR 1,BZLA,US0595781040,A0YJVA,XFRA,BDORY
Banco Macro S.A. Sp. ADRs,B4W,US05961W1053,A0JJT4,XFRA,BMA
BANCO SANT.MEX. B SP.ADR,BX3A,US05969B1035,A2JCUH,XFRA,BSMX
Banco Santander (Brasil) S.A.,DBSA,US05967A1079,A0YBKP,XFRA,BSBR
Banco Santander S.A,BSD2,ES0113900J37,858872,XETR,
BANCOLOMB. ADR/4 KP 500,BXK,US05968L1026,896739,XFRA,CIB
"BANCORPSOUTH BANK DL 2,5",BTO,US05971J1025,A2H62D,XFRA,BXS
"BANDWID.INC. CL.A DL-,001",5XB,US05988J1034,A2H7JF,XETR,BAND
Bang & Olufsen AS,BUOB,DK0010218429,871970,XFRA,
BANGCHAK CORP. -FGN- BA 1,7BP,TH0420010Y19,A2DP5M,XFRA,
BANGCHAK PET. NVDR BA 1,7BP1,TH0420010R18,A0NEGM,XFRA,
BANGKOK AIRWAYS-FGN- BA 1,8BA,TH4403010010,A12D4W,XFRA,
BANGKOK BK -FGN- BA 10,BKKF,TH0001010014,883565,XFRA,
BANGKOK EXPR.+METR. FGN,B4X,TH6999010015,A2ACY1,XFRA,
BANGKOK LIFE ASSUR.-NVDR-,XBLA,TH1016010R13,A0YA3M,XFRA,
"BANGO PLC LS-,20",B1O,GB00B0BRN552,A0HGYU,XFRA,
"BANK CENTRAL ASIA RP 62,5",BZG2,ID1000109507,A0NBWE,XFRA,
Bank Danamon Indonesia Tbk PT,HX9,ID1000094204,120468,XFRA,
BANK FIRST CORP.,42H,US06211J1007,A117EM,XFRA,BFC
BANK MILLENNIUM ZY 1,1HN,PLBIG0000016,894956,XFRA,
BANK O.CHINA H ADR/25 YC1,W8VS,US06426M1045,A0YGQU,XFRA,BACHY
Bank of America Corp.,NCB,US0605051046,858388,XETR,BAC
BANK OF CHINA 'H',W8V,CNE1000001Z5,A0M4WZ,XFRA,
BANK OF CHONGQING H YC1,CQN,CNE100001QN2,A1W7B1,XFRA,
